InstanceID,Profit
c515-1,170
c515-2,161
c515-3,170
c515-4,168
c515-5,163
c520-1,175
c520-2,138
c520-3,140
c520-4,166
c520-5,136
c525-1,245
c525-2,226
c525-3,243
c525-4,246
c525-5,250
c530-1,206
c530-2,243
c530-3,252
c530-4,216
c530-5,229
c824-1,268
c824-2,273
c824-3,254
c824-4,251
c824-5,250
c832-1,286
c832-2,274
c832-3,321
c832-4,308
c832-5,303
c840-1,382
c840-2,387
c840-3,388
c840-4,403
c840-5,403
c848-1,453
c848-2,444
c848-3,478
c848-4,426
c848-5,464
c1030-1,328
c1030-2,326
c1030-3,332
c1030-4,324
c1030-5,304
c1040-1,341
c1040-2,325
c1040-3,373
c1040-4,346
c1040-5,363
c1050-1,352
c1050-2,378
c1050-3,355
c1050-4,353
c1050-5,376
c1060-1,525
c1060-2,492
c1060-3,517
c1060-4,538
c1060-5,497
