InstanceID,Profit
c515-1,322
c515-2,317
c515-3,315
c515-4,327
c515-5,312
c520-1,413
c520-2,387
c520-3,391
c520-4,389
c520-5,418
c525-1,553
c525-2,524
c525-3,561
c525-4,548
c525-5,532
c530-1,586
c530-2,609
c530-3,611
c530-4,613
c530-5,602
c824-1,549
c824-2,516
c824-3,523
c824-4,537
c824-5,487
c832-1,702
c832-2,695
c832-3,660
c832-4,688
c832-5,674
c840-1,873
c840-2,799
c840-3,843
c840-4,847
c840-5,835
c848-1,1009
c848-2,955
c848-3,980
c848-4,967
c848-5,920
c1030-1,629
c1030-2,654
c1030-3,653
c1030-4,645
c1030-5,632
c1040-1,814
c1040-2,799
c1040-3,836
c1040-4,827
c1040-5,823
c1050-1,891
c1050-2,868
c1050-3,944
c1050-4,916
c1050-5,899
c1060-1,1273
c1060-2,1202
c1060-3,1194
c1060-4,1232
c1060-5,1246
