InstanceID,Profit
c515-1,320
c515-2,295
c515-3,274
c515-4,327
c515-5,294
c520-1,395
c520-2,371
c520-3,356
c520-4,336
c520-5,327
c525-1,503
c525-2,484
c525-3,535
c525-4,500
c525-5,486
c530-1,543
c530-2,536
c530-3,537
c530-4,523
c530-5,553
c824-1,475
c824-2,447
c824-3,516
c824-4,474
c824-5,474
c832-1,611
c832-2,644
c832-3,641
c832-4,631
c832-5,644
c840-1,806
c840-2,827
c840-3,807
c840-4,834
c840-5,801
c848-1,967
c848-2,946
c848-3,1009
c848-4,952
c848-5,974
c1030-1,598
c1030-2,607
c1030-3,595
c1030-4,619
c1030-5,606
c1040-1,851
c1040-2,803
c1040-3,800
c1040-4,810
c1040-5,808
c1050-1,876
c1050-2,896
c1050-3,1004
c1050-4,920
c1050-5,889
c1060-1,1239
c1060-2,1232
c1060-3,1218
c1060-4,1226
c1060-5,1224
