InstanceID,Profit
c5  15 -1,289
c5  15 -2,292
c5  15 -3,295
c5  15 -4,299
c5  15 -5,283
c5  20 -1,391
c5  20 -2,313
c5  20 -3,308
c5  20 -4,366
c5  20 -5,346
c5  25 -1,521
c5  25 -2,482
c5  25 -3,495
c5  25 -4,506
c5  25 -5,479
c5  30 -1,518
c5  30 -2,520
c5  30 -3,540
c5  30 -4,527
c5  30 -5,480
c8  24 -1,450
c8  24 -2,483
c8  24 -3,473
c8  24 -4,461
c8  24 -5,483
c8  32 -1,634
c8  32 -2,656
c8  32 -3,659
c8  32 -4,612
c8  32 -5,585
c8  40 -1,803
c8  40 -2,813
c8  40 -3,813
c8  40 -4,793
c8  40 -5,802
c8  48 -1,963
c8  48 -2,980
c8  48 -3,976
c8  48 -4,962
c8  48 -5,944
c10 30 -1,586
c10 30 -2,602
c10 30 -3,613
c10 30 -4,604
c10 30 -5,595
c10 40 -1,804
c10 40 -2,832
c10 40 -3,818
c10 40 -4,830
c10 40 -5,828
c10 50 -1,887
c10 50 -2,890
c10 50 -3,878
c10 50 -4,831
c10 50 -5,917
c10 60 -1,1217
c10 60 -2,1182
c10 60 -3,1169
c10 60 -4,1205
c10 60 -5,1200
