InstanceID,Profit
c515-1,310
c515-2,314
c515-3,285
c515-4,294
c515-5,274
c520-1,379
c520-2,356
c520-3,345
c520-4,347
c520-5,325
c525-1,505
c525-2,487
c525-3,479
c525-4,513
c525-5,487
c530-1,541
c530-2,571
c530-3,558
c530-4,513
c530-5,511
c824-1,502
c824-2,498
c824-3,447
c824-4,489
c824-5,477
c832-1,640
c832-2,647
c832-3,631
c832-4,663
c832-5,634
c840-1,794
c840-2,794
c840-3,837
c840-4,826
c840-5,769
c848-1,963
c848-2,913
c848-3,964
c848-4,969
c848-5,972
c1030-1,556
c1030-2,620
c1030-3,596
c1030-4,619
c1030-5,605
c1040-1,789
c1040-2,789
c1040-3,830
c1040-4,764
c1040-5,777
c1050-1,828
c1050-2,840
c1050-3,869
c1050-4,883
c1050-5,865
c1060-1,1209
c1060-2,1199
c1060-3,1184
c1060-4,1182
c1060-5,1222
