InstanceID,Profit
c515-1,283
c515-2,293
c515-3,297
c515-4,313
c515-5,307
c520-1,342
c520-2,333
c520-3,373
c520-4,362
c520-5,338
c525-1,490
c525-2,502
c525-3,490
c525-4,506
c525-5,490
c530-1,506
c530-2,502
c530-3,551
c530-4,494
c530-5,546
c824-1,465
c824-2,489
c824-3,474
c824-4,480
c824-5,488
c832-1,631
c832-2,653
c832-3,601
c832-4,625
c832-5,612
c840-1,783
c840-2,795
c840-3,861
c840-4,798
c840-5,800
c848-1,992
c848-2,948
c848-3,946
c848-4,986
c848-5,952
c1030-1,601
c1030-2,581
c1030-3,594
c1030-4,593
c1030-5,620
c1040-1,761
c1040-2,784
c1040-3,831
c1040-4,790
c1040-5,788
c1050-1,888
c1050-2,887
c1050-3,885
c1050-4,886
c1050-5,880
c1060-1,1216
c1060-2,1222
c1060-3,1159
c1060-4,1237
c1060-5,1222
