InstanceID,Profit
c515-1,271
c515-2,296
c515-3,288
c515-4,287
c515-5,308
c520-1,343
c520-2,353
c520-3,340
c520-4,366
c520-5,342
c525-1,471
c525-2,472
c525-3,470
c525-4,526
c525-5,489
c530-1,545
c530-2,526
c530-3,526
c530-4,523
c530-5,501
c824-1,487
c824-2,479
c824-3,463
c824-4,476
c824-5,501
c832-1,648
c832-2,656
c832-3,608
c832-4,642
c832-5,634
c840-1,791
c840-2,811
c840-3,812
c840-4,793
c840-5,782
c848-1,961
c848-2,958
c848-3,910
c848-4,989
c848-5,980
c1030-1,565
c1030-2,626
c1030-3,626
c1030-4,598
c1030-5,616
c1040-1,810
c1040-2,808
c1040-3,836
c1040-4,829
c1040-5,782
c1050-1,887
c1050-2,841
c1050-3,801
c1050-4,885
c1050-5,866
c1060-1,1245
c1060-2,1197
c1060-3,1221
c1060-4,1249
c1060-5,1182
